Nombre,Peso_GB,URL_Portada,Incluye_DLC
Zelda: Tears of the Kingdom,16.3,https://upload.wikimedia.org/wikipedia/en/f/fb/The_Legend_of_Zelda_Tears_of_the_Kingdom_cover.jpg,Si
Mario Kart 8 Deluxe,7.4,https://upload.wikimedia.org/wikipedia/en/b/b5/Mario_Kart_8_Deluxe_box_art.jpg,Si
Super Smash Bros Ultimate,17.3,https://upload.wikimedia.org/wikipedia/en/5/50/Super_Smash_Bros._Ultimate.jpg,Si
Animal Crossing: New Horizons,7.0,https://upload.wikimedia.org/wikipedia/en/1/1f/Animal_Crossing_New_Horizons.jpg,No
Super Mario Odyssey,5.7,https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg,No
Luigi's Mansion 3,6.3,https://upload.wikimedia.org/wikipedia/en/4/41/Luigis_Mansion_3_box_art.jpg,Si
Metroid Dread,4.1,https://upload.wikimedia.org/wikipedia/en/b/b5/Metroid_Dread_Boxart.jpg,No
Splatoon 3,6.0,https://upload.wikimedia.org/wikipedia/en/c/ca/Splatoon_3_cover_art.jpg,No
Pokémon Violet,7.2,https://upload.wikimedia.org/wikipedia/en/1/16/Pokemon_Scarlet_and_Violet.jpg,Si
Minecraft,1.5,https://upload.wikimedia.org/wikipedia/en/5/51/Minecraft_cover.png,No
Hollow Knight,5.3,https://upload.wikimedia.org/wikipedia/en/0/04/Hollow_Knight_first_cover_art.webp,Si
Cuphead,3.3,https://upload.wikimedia.org/wikipedia/en/c/c5/Cuphead_%28artwork%29.png,Si
